Time,S1_SumDelay,S1_TailSumDelay,S2_SumDelay,S2_TailSumDelay,S1_Throughput,S1_Queue,S2_Throughput,S2_Queue,Seed
109,320.9747070103525,226.70141425185776,339.82684894717727,199.0665826045248,37,7,35,9,1
110,335.4995016251818,231.263701427994,339.82684894717727,199.0665826045248,38,6,35,9,1
111,392.5670162073498,277.9014838253576,339.82684894717727,199.0665826045248,40,6,35,9,1
112,403.9941724047397,277.9014838253576,364.79702035679895,209.7199607004227,41,6,36,8,1
113,403.9941724047397,277.9014838253576,399.58418233522207,231.91473228452048,41,7,38,6,1
114,403.9941724047397,277.9014838253576,399.58418233522207,231.91473228452048,41,7,38,6,1
115,421.2814448527057,281.79847715052324,399.58418233522207,231.91473228452048,42,8,38,7,1
116,424.1560947618311,281.79847715052324,399.58418233522207,231.91473228452048,43,8,38,6,1
117,477.4347249437702,320.5523127176332,418.0059931812127,246.23152559824425,45,8,40,7,1
118,477.4347249437702,320.5523127176332,451.140321990866,253.8624214800652,45,8,42,6,1
119,477.4347249437702,320.5523127176332,451.140321990866,253.8624214800652,45,8,42,7,1
120,477.4347249437702,320.5523127176332,451.140321990866,253.8624214800652,45,8,42,5,1
121,477.4347249437702,320.5523127176332,451.140321990866,253.8624214800652,45,7,42,5,1
122,482.8587921234584,320.5523127176332,477.6976860081567,265.20611403002107,46,7,43,5,1
123,482.8587921234584,320.5523127176332,477.6976860081567,265.20611403002107,46,7,43,5,1
124,495.6861726524944,335.0771073324623,483.7151556258566,280.4197854973558,47,6,44,5,1
125,495.6861726524944,335.0771073324623,492.0480744052014,280.4197854973558,47,6,45,5,1
126,495.6861726524944,335.0771073324623,492.0480744052014,280.4197854973558,47,6,45,4,1
127,495.6861726524944,335.0771073324623,519.7147940555577,292.8728336803775,47,5,46,4,1
128,495.6861726524944,335.0771073324623,519.7147940555577,292.8728336803775,47,5,46,4,1
129,495.6861726524944,335.0771073324623,536.1266960972459,309.2847357220657,47,5,47,4,1
130,495.6861726524944,335.0771073324623,548.277097423697,309.2847357220657,47,5,48,4,1
131,495.6861726524944,335.0771073324623,549.916946101119,309.2847357220657,47,4,49,4,1
132,513.8200382741111,338.6861783392498,570.4647102018456,329.8324998227924,48,4,50,3,1
133,513.8200382741111,338.6861783392498,579.8975225430654,329.8324998227924,48,1,51,2,1
134,513.8200382741111,338.6861783392498,579.8975225430654,329.8324998227924,48,1,51,2,1
135,513.8200382741111,338.6861783392498,579.8975225430654,329.8324998227924,48,1,51,2,1
136,528.313771441706,338.6861783392498,585.1694058515163,329.8324998227924,49,1,52,1,1
137,528.313771441706,338.6861783392498,585.1694058515163,329.8324998227924,49,1,52,1,1
138,528.313771441706,338.6861783392498,585.1694058515163,329.8324998227924,49,0,52,1,1
139,528.313771441706,338.6861783392498,585.1694058515163,329.8324998227924,49,0,52,1,1
140,542.9170329038201,353.289439801364,585.1694058515163,329.8324998227924,50,0,52,1,1
141,542.9170329038201,353.289439801364,585.1694058515163,329.8324998227924,50,0,52,1,1
142,566.4884687685667,362.2576142039964,585.1694058515163,329.8324998227924,51,0,52,1,1
143,566.4884687685667,362.2576142039964,614.2991121924229,358.1308325633028,51,0,54,1,1
144,566.4884687685667,362.2576142039964,638.9638324613016,366.5334606827348,51,0,55,1,1
145,566.4884687685667,362.2576142039964,638.9638324613016,366.5334606827348,51,0,55,1,1
146,585.1157844499869,365.4932162299321,638.9638324613016,366.5334606827348,52,0,55,1,1
147,585.1157844499869,365.4932162299321,638.9638324613016,366.5334606827348,52,0,55,0,1
148,585.1157844499869,365.4932162299321,638.9638324613016,366.5334606827348,52,0,55,0,1
149,592.3007279841642,365.4932162299321,638.9638324613016,366.5334606827348,53,0,55,0,1
150,598.5094093892554,380.88492988541657,642.3391111330435,366.5334606827348,54,0,56,0,1
151,614.5748330611627,381.55863990183934,642.3391111330435,366.5334606827348,55,0,56,0,1
152,614.5748330611627,381.55863990183934,642.3391111330435,366.5334606827348,55,0,56,0,1
153,658.525437251751,417.77420409273753,642.3391111330435,366.5334606827348,57,0,56,0,1
154,658.525437251751,417.77420409273753,670.2321422854299,394.4264918351212,57,0,57,0,1
155,679.4342705582137,422.9429573934831,670.2321422854299,394.4264918351212,58,0,57,0,1
156,679.4342705582137,422.9429573934831,670.2321422854299,394.4264918351212,58,0,57,0,1
157,690.8101331494397,422.9429573934831,670.2321422854299,394.4264918351212,59,0,57,0,1
158,690.8101331494397,422.9429573934831,670.2321422854299,394.4264918351212,59,0,57,0,1
159,690.8101331494397,422.9429573934831,670.2321422854299,394.4264918351212,59,0,57,0,1
