Time,Seed,Scenario,VehicleID,Route
47,0,S2,2,-18 +24 -24 -19
47,0,S2,3,-14
47,0,S2,4,-9 -5
47,0,S2,5,+21 -21
47,0,S2,6,-7 +13 +20 -13 -20
47,0,S2,7,+22 -22
47,0,S2,8,-10 -17
47,0,S2,9,+16 -16
48,0,S1,0,-1
48,0,S1,1,+22 -22
48,0,S1,2,-18 -19
48,0,S1,3,-2
48,0,S1,4,-9 +23 -5 -23
48,0,S1,5,-14
48,0,S1,6,
48,0,S1,7,+16 -16
48,0,S1,8,-13 -20
48,0,S1,9,+24 -24 -17 -21
48,0,S2,0,-1
48,0,S2,1,+23 -2 -23
48,0,S2,2,-18 +24 -24 -19
48,0,S2,3,-14
48,0,S2,4,-9 -5
48,0,S2,5,+21 -21
48,0,S2,6,+13 +20 -13 -20
48,0,S2,7,+22 -22
48,0,S2,8,-10 -17
48,0,S2,9,+16 -16
49,0,S1,0,-1
49,0,S1,1,+22 -22
49,0,S1,2,-18 -19
49,0,S1,3,-2
49,0,S1,4,-9 +23 -5 -23
49,0,S1,5,-14
49,0,S1,6,
49,0,S1,7,+16 -16
49,0,S1,8,-20 +25 -25
49,0,S1,9,+24 -24 -17 -21
49,0,S2,0,-1
49,0,S2,1,+23 -2 -23
49,0,S2,2,-18 +24 -24 -19
49,0,S2,3,-14
49,0,S2,4,-9 -5 +25 -25
49,0,S2,5,+21 -21
49,0,S2,6,+13 +20 -13 -20
49,0,S2,7,+22 -22
49,0,S2,8,-10 -17
49,0,S2,9,+16 -16
50,0,S1,0,-1
50,0,S1,1,+22 -22
50,0,S1,2,-18 -19
50,0,S1,3,-2
50,0,S1,4,-9 +23 -5 -23
50,0,S1,5,-14
