Time,Seed,Scenario,VehicleID,Occupancy
52,22,S1,2,2
52,22,S1,3,1
52,22,S1,4,3
52,22,S1,5,2
52,22,S1,6,3
52,22,S1,7,4
52,22,S1,8,1
52,22,S1,9,4
52,22,S2,0,3
52,22,S2,1,4
52,22,S2,2,1
52,22,S2,3,3
52,22,S2,4,1
52,22,S2,5,1
52,22,S2,6,5
52,22,S2,7,4
52,22,S2,8,4
52,22,S2,9,2
53,22,S1,0,2
53,22,S1,1,3
53,22,S1,2,2
53,22,S1,3,1
53,22,S1,4,3
53,22,S1,5,2
53,22,S1,6,2
53,22,S1,7,4
53,22,S1,8,2
53,22,S1,9,4
53,22,S2,0,3
53,22,S2,1,4
53,22,S2,2,1
53,22,S2,3,3
53,22,S2,4,1
53,22,S2,5,0
53,22,S2,6,5
53,22,S2,7,4
53,22,S2,8,4
53,22,S2,9,2
54,22,S1,0,2
54,22,S1,1,3
54,22,S1,2,2
54,22,S1,3,1
54,22,S1,4,4
54,22,S1,5,3
54,22,S1,6,2
54,22,S1,7,4
54,22,S1,8,2
54,22,S1,9,4
54,22,S2,0,3
54,22,S2,1,4
54,22,S2,2,1
54,22,S2,3,3
54,22,S2,4,1
54,22,S2,5,0
54,22,S2,6,5
54,22,S2,7,4
54,22,S2,8,5
54,22,S2,9,2
55,22,S1,0,3
55,22,S1,1,3
55,22,S1,2,2
55,22,S1,3,1
55,22,S1,4,4
55,22,S1,5,3
55,22,S1,6,2
55,22,S1,7,4
55,22,S1,8,2
55,22,S1,9,4
55,22,S2,0,3
55,22,S2,1,4
55,22,S2,2,2
55,22,S2,3,3
55,22,S2,4,1
55,22,S2,5,0
55,22,S2,6,5
55,22,S2,7,4
55,22,S2,8,5
55,22,S2,9,2
56,22,S1,0,3
56,22,S1,1,3
56,22,S1,2,2
56,22,S1,3,1
56,22,S1,4,4
56,22,S1,5,3
56,22,S1,6,3
56,22,S1,7,4
56,22,S1,8,2
56,22,S1,9,4
56,22,S2,0,3
56,22,S2,1,4
56,22,S2,2,2
56,22,S2,3,3
56,22,S2,4,1
56,22,S2,5,0
56,22,S2,6,5
56,22,S2,7,4
56,22,S2,8,5
56,22,S2,9,2
57,22,S1,0,4
57,22,S1,1,3
57,22,S1,2,2
57,22,S1,3,1
57,22,S1,4,4
57,22,S1,5,3
57,22,S1,6,3
57,22,S1,7,4
57,22,S1,8,2
57,22,S1,9,4
57,22,S2,0,3
57,22,S2,1,4
57,22,S2,2,3
57,22,S2,3,3
57,22,S2,4,1
57,22,S2,5,0
57,22,S2,6,3
57,22,S2,7,4
57,22,S2,8,5
57,22,S2,9,2
58,22,S1,0,4
58,22,S1,1,3
58,22,S1,2,2
58,22,S1,3,1
58,22,S1,4,4
58,22,S1,5,3
58,22,S1,6,3
58,22,S1,7,2
58,22,S1,8,2
58,22,S1,9,4
58,22,S2,0,3
58,22,S2,1,4
58,22,S2,2,4
58,22,S2,3,4
58,22,S2,4,1
58,22,S2,5,0
58,22,S2,6,3
58,22,S2,7,2
58,22,S2,8,5
58,22,S2,9,3
59,22,S1,0,4
59,22,S1,1,3
59,22,S1,2,2
59,22,S1,3,1
59,22,S1,4,4
59,22,S1,5,3
59,22,S1,6,3
59,22,S1,7,2
59,22,S1,8,2
59,22,S1,9,4
59,22,S2,0,3
59,22,S2,1,5
59,22,S2,2,4
59,22,S2,3,4
59,22,S2,4,1
59,22,S2,5,0
59,22,S2,6,3
59,22,S2,7,2
59,22,S2,8,5
59,22,S2,9,3
60,22,S1,0,4
60,22,S1,1,3
60,22,S1,2,2
60,22,S1,3,1
60,22,S1,4,4
60,22,S1,5,3
60,22,S1,6,2
60,22,S1,7,2
60,22,S1,8,3
60,22,S1,9,4
60,22,S2,0,3
60,22,S2,1,5
60,22,S2,2,4
60,22,S2,3,4
60,22,S2,4,1
60,22,S2,5,0
60,22,S2,6,3
60,22,S2,7,2
60,22,S2,8,5
60,22,S2,9,4
61,22,S1,0,4
61,22,S1,1,3
61,22,S1,2,2
61,22,S1,3,1
61,22,S1,4,4
61,22,S1,5,3
61,22,S1,6,3
61,22,S1,7,2
61,22,S1,8,3
61,22,S1,9,4
61,22,S2,0,2
61,22,S2,1,5
61,22,S2,2,4
61,22,S2,3,4
61,22,S2,4,1
61,22,S2,5,0
61,22,S2,6,3
61,22,S2,7,2
61,22,S2,8,6
61,22,S2,9,4
62,22,S1,0,4
62,22,S1,1,3
62,22,S1,2,2
62,22,S1,3,1
62,22,S1,4,4
62,22,S1,5,3
62,22,S1,6,3
62,22,S1,7,2
62,22,S1,8,2
62,22,S1,9,4
62,22,S2,0,2
62,22,S2,1,5
62,22,S2,2,5
62,22,S2,3,4
62,22,S2,4,1
62,22,S2,5,0
62,22,S2,6,3
62,22,S2,7,2
62,22,S2,8,6
62,22,S2,9,4
63,22,S1,0,4
63,22,S1,1,3
63,22,S1,2,2
63,22,S1,3,1
63,22,S1,4,5
63,22,S1,5,3
63,22,S1,6,3
63,22,S1,7,2
63,22,S1,8,2
63,22,S1,9,2
63,22,S2,0,2
63,22,S2,1,5
63,22,S2,2,5
63,22,S2,3,4
63,22,S2,4,1
63,22,S2,5,0
63,22,S2,6,3
63,22,S2,7,2
63,22,S2,8,6
63,22,S2,9,4
64,22,S1,0,4
64,22,S1,1,3
64,22,S1,2,2
64,22,S1,3,1
64,22,S1,4,5
64,22,S1,5,3
64,22,S1,6,3
64,22,S1,7,2
64,22,S1,8,2
64,22,S1,9,2
64,22,S2,0,2
64,22,S2,1,5
64,22,S2,2,5
64,22,S2,3,4
64,22,S2,4,1
64,22,S2,5,0
64,22,S2,6,2
64,22,S2,7,2
64,22,S2,8,6
64,22,S2,9,4
65,22,S1,0,4
65,22,S1,1,3
65,22,S1,2,2
65,22,S1,3,1
65,22,S1,4,5
65,22,S1,5,2
65,22,S1,6,3
65,22,S1,7,2
65,22,S1,8,2
65,22,S1,9,2
65,22,S2,0,2
65,22,S2,1,6
65,22,S2,2,7
65,22,S2,3,4
65,22,S2,4,1
65,22,S2,5,0
