Demand,Scenario,Seed,Alpha,Avg_Delay,Gini_Delay,Tail_Delay,Avg_Detour,Total_VKT
demand_1.25x,S1,4,,31.296581781761567,0.4548532402650767,64.34926821969593,1.8578495232441032,866.2794671787776
demand_1.25x,S2,4,0.8,33.68769516509653,0.3080525962960545,54.46197674724411,1.9315154402153203,862.7515325661866
demand_1.25x,S1,5,,30.638345931824272,0.4680887144290968,63.74239022549002,1.6586726788279498,900.6537340170445
demand_1.25x,S2,5,0.8,35.61828809264958,0.3294554831198153,59.89501013163248,1.841943216272789,899.9696956626889
demand_1.25x,S1,6,,29.780993919160817,0.4295708820141835,59.14398117751762,1.626360140711165,838.7924826706814
demand_1.25x,S2,6,0.8,35.44187231766327,0.3423639373372109,60.23932420273162,1.751387641371131,875.1568468714254
demand_1.25x,S1,7,,31.863555967681283,0.4284093722271611,63.4787821280488,1.6189976570053972,910.3611118986204
demand_1.25x,S2,7,0.8,33.18931581543571,0.318182428127153,55.25758585433469,1.716512329719964,859.3684445467725
demand_1.25x,S1,8,,27.725686870901203,0.4171896850445233,54.36897853899771,1.569400024945278,855.3651407285437
demand_1.25x,S2,8,0.8,32.80897455967403,0.2993641403322844,52.48954875982958,1.8092811969851763,857.5566163505009
demand_1.25x,S1,9,,29.052534664580968,0.458533793596573,61.2915857364514,1.625663226842495,867.9084112316918
demand_1.25x,S2,9,0.8,34.95069720653447,0.3197698334428269,57.50300303500295,1.691793585603764,916.9077253333668
demand_1.25x,S1,10,,32.217957106389505,0.4294198316141082,64.20277453778792,1.662499867282891,877.2071973423607
demand_1.25x,S2,10,0.8,39.97916096309169,0.3185458925022351,66.03439612815704,1.85937545605719,961.1429572303934
demand_1.25x,S1,11,,29.058056524451725,0.4467590140710085,58.67973307451307,1.7183769666315458,858.031467658729
demand_1.25x,S2,11,0.8,34.67759105726622,0.3392649115612864,59.05809175169946,1.7592912990349054,892.3189627327954
demand_1.25x,S1,12,,29.07723824121119,0.4200219348664946,56.4716933276428,1.6109018763552951,884.9573660824816
demand_1.25x,S2,12,0.8,33.810799392441766,0.3066405108737402,55.31802658837797,1.8448705735543312,882.1236640912375
demand_1.25x,S1,13,,28.152398994345337,0.4660513886291759,58.912997606604144,1.5855486889573505,858.8833787777289
demand_1.25x,S2,13,0.8,30.09538070623318,0.3682220416508543,53.5383126698726,1.7702515544258313,887.024161805421
demand_1.25x,S1,14,,29.49360770323492,0.3894340510847995,54.58455977396204,1.5477897069019462,846.2874291392635
demand_1.25x,S2,14,0.8,38.267863315630734,0.3210234777450407,62.73171999202654,1.9876263987740777,914.9795576281113
demand_1.25x,S1,15,,27.87148229766164,0.4339653207914848,55.54203980637674,1.667718895232756,928.9958359216592
